"","Var1","Freq"
"463","2016-04-09",2935
"464","2016-04-10",372
"465","2016-04-11",311
"466","2016-04-12",703
"467","2016-04-13",2
"468","2016-04-14",503
"469","2016-04-15",1027
"470","2016-04-16",1071
"471","2016-04-17",3108
"472","2016-04-18",189
"473","2016-04-19",634
"474","2016-04-20",410
"475","2016-04-21",497
"476","2016-04-22",1055
"477","2016-04-23",8
"478","2016-04-24",154
"479","2016-04-25",324
"480","2016-04-26",4651
"481","2016-04-27",755
"482","2016-04-28",4627
"483","2016-04-29",6813
"484","2016-05-01",9230
"485","2016-05-02",7251
"486","2016-05-03",5165
"487","2016-05-04",1363
"488","2016-05-05",5128
"489","2016-05-06",1563
"490","2016-05-07",52
"491","2016-05-08",846
"492","2016-05-09",3416
"493","2016-05-10",8722
"494","2016-05-11",9000
"495","2016-05-12",11744
"496","2016-05-13",16097
"497","2016-05-14",6054
"498","2016-05-15",2337
"499","2016-05-16",6577
"500","2016-05-17",4777
"501","2016-05-18",15313
"502","2016-05-19",7411
"503","2016-05-20",10640
"504","2016-05-21",1455
"505","2016-05-22",2972
"506","2016-05-23",11162
"507","2016-05-24",14992
"508","2016-05-25",9624
"509","2016-05-26",11251
"510","2016-05-27",12468
"511","2016-05-28",3209
"512","2016-05-29",5387
"513","2016-05-30",6158
"514","2016-05-31",14948
"515","2016-06-01",15894
"516","2016-06-02",9766
"517","2016-06-03",22888
"518","2016-06-04",1619
"519","2016-06-05",9791
"520","2016-06-06",20460
"521","2016-06-07",14217
"522","2016-06-08",12305
"523","2016-06-09",1042
"524","2016-06-10",12778
"525","2016-06-11",703
"526","2016-06-12",11440
"527","2016-06-13",3696
"528","2016-06-14",3794
"529","2016-06-15",3406
"530","2016-06-16",12270
"531","2016-06-17",6685
"532","2016-06-18",2
"533","2016-06-19",8887
"534","2016-06-20",2623
"535","2016-06-21",6085
"536","2016-06-22",2468
"537","2016-06-23",3671
"538","2016-06-24",5066
"539","2016-06-25",1643
"540","2016-06-26",11647
"541","2016-06-27",4713
"542","2016-06-28",3713
"543","2016-06-29",1976
"544","2016-06-30",1807
"545","2016-07-01",2703
